Цех,Артикул продукции,Продукция,Дата,Артикул материала,Материал
511,330012233637,128,2023-02-09,12300106,26.0
533,330012233451,1314,2023-02-09,12300141,27.0
533,330012233617,1071,2023-02-09,12300141,27.0
511,330012233800,751,2023-02-09,12300106,26.0
511,330012233552,581,2023-02-09,12300106,26.0
544,330012233577,252,2023-02-12,12300252,59.0
544,330012233625,500,2023-02-12,12300155,142.0
544,330012233625,500,2023-02-12,12300252,59.0
544,330012233804,446,2023-02-12,12300155,142.0
544,330012233804,446,2023-02-12,12300252,59.0
544,330012233517,118,2023-02-12,12300155,142.0
544,330012233629,387,2023-02-12,12300252,59.0
